dataset,baseline,perturbation,class,pearson_r,l2,split_type,baseline_type,class_name
k562,lpm_selftrained,GPKOW,Transcription,0.6485227670902272,4.2385673658475795,functional_class_holdout,,
k562,lpm_selftrained,GRSF1,Transcription,0.5873344584480809,2.678079273237489,functional_class_holdout,,
k562,lpm_selftrained,GTF2A1,Transcription,0.6775004049445518,4.367477524392241,functional_class_holdout,,
k562,lpm_selftrained,GTF2A2,Transcription,0.6015700295242478,3.695180301830023,functional_class_holdout,,
k562,lpm_selftrained,GTF2B,Transcription,0.5313912137765855,5.7289774632723685,functional_class_holdout,,
k562,lpm_selftrained,GTF2E1,Transcription,0.6628879440678468,2.8141595456324477,functional_class_holdout,,
k562,lpm_selftrained,GTF2E2,Transcription,0.5986726279465516,4.00430749121836,functional_class_holdout,,
k562,lpm_selftrained,GTF2F2,Transcription,0.64241640968117,5.017103055837669,functional_class_holdout,,
k562,lpm_selftrained,GTF2H1,Transcription,0.8492921341997569,2.8803609159055825,functional_class_holdout,,
k562,lpm_selftrained,GTF3C3,Transcription,0.4648971786864414,2.9336454729625054,functional_class_holdout,,
k562,lpm_selftrained,HEATR1,Transcription,0.8821673206313789,3.870673648323182,functional_class_holdout,,
k562,lpm_selftrained,HINFP,Transcription,0.7488440392208076,3.768131152625618,functional_class_holdout,,
k562,lpm_selftrained,HNRNPC,Transcription,0.6311416172900999,5.826013624646944,functional_class_holdout,,
k562,lpm_selftrained,HNRNPH1,Transcription,0.5303936973184635,4.1278760109535835,functional_class_holdout,,
k562,lpm_selftrained,HNRNPL,Transcription,0.5630204855702692,5.209491058212634,functional_class_holdout,,
k562,lpm_selftrained,HNRNPM,Transcription,0.4850317731724759,3.6234057397151687,functional_class_holdout,,
k562,lpm_selftrained,HNRNPU,Transcription,0.3834737787426325,5.28482340162418,functional_class_holdout,,
k562,lpm_selftrained,IARS2,Transcription,0.87106344852382,3.0282097138310022,functional_class_holdout,,
k562,lpm_selftrained,ICE1,Transcription,0.8359971029147459,3.065602963878139,functional_class_holdout,,
k562,lpm_selftrained,IK,Transcription,0.7244435156280025,3.3946334560227087,functional_class_holdout,,
k562,lpm_selftrained,ILF2,Transcription,0.4180732885738067,4.756249099916657,functional_class_holdout,,
k562,lpm_selftrained,IMP4,Transcription,0.9327036084409436,3.5386586612729336,functional_class_holdout,,
k562,lpm_selftrained,INTS1,Transcription,0.2307189889736054,2.7476597209081413,functional_class_holdout,,
k562,lpm_selftrained,INTS2,Transcription,0.7748222603736592,7.974487764129853,functional_class_holdout,,
k562,lpm_selftrained,INTS4,Transcription,0.7771963223166976,5.631530640359091,functional_class_holdout,,
k562,lpm_selftrained,INTS5,Transcription,0.5921640842997857,8.31713309252829,functional_class_holdout,,
k562,lpm_selftrained,INTS6,Transcription,0.2538184409161914,3.2753034317669685,functional_class_holdout,,
k562,lpm_selftrained,INTS7,Transcription,0.6516369459560097,6.042403494096322,functional_class_holdout,,
k562,lpm_selftrained,INTS8,Transcription,0.6817414713250585,7.513268806333576,functional_class_holdout,,
k562,lpm_selftrained,INTS9,Transcription,0.836381029732162,4.501723550679315,functional_class_holdout,,
k562,lpm_selftrained,JAZF1,Transcription,0.392013477507477,2.409401794395152,functional_class_holdout,,
k562,lpm_selftrained,KANSL1,Transcription,0.4706839996687928,6.844975499325768,functional_class_holdout,,
k562,lpm_selftrained,KANSL3,Transcription,0.3543725282510617,4.4162683536523675,functional_class_holdout,,
k562,lpm_selftrained,KRR1,Transcription,0.9420531487786482,2.478983130466143,functional_class_holdout,,
k562,lpm_selftrained,LAS1L,Transcription,0.5822992635594535,3.481047952991145,functional_class_holdout,,
k562,lpm_selftrained,LIN54,Transcription,0.2321615718055762,1.7982504412700988,functional_class_holdout,,
k562,lpm_selftrained,LRPPRC,Transcription,0.3999271857869036,6.443513701656013,functional_class_holdout,,
k562,lpm_selftrained,LSM10,Transcription,0.4215552520584298,3.681651408996372,functional_class_holdout,,
k562,lpm_selftrained,LSM11,Transcription,0.6262962005579806,3.6217886211345096,functional_class_holdout,,
k562,lpm_selftrained,LSM2,Transcription,0.8711832852229267,4.377424401963697,functional_class_holdout,,
k562,lpm_selftrained,LSM3,Transcription,0.685389029338795,4.751953809389387,functional_class_holdout,,
k562,lpm_selftrained,LSM4,Transcription,0.7659960479485197,4.703858132428854,functional_class_holdout,,
k562,lpm_selftrained,LSM5,Transcription,0.6891739658698741,2.9717617503417246,functional_class_holdout,,
k562,lpm_selftrained,LSM6,Transcription,0.8474508090955543,4.208474886539378,functional_class_holdout,,
k562,lpm_selftrained,LSM7,Transcription,0.7795569742106205,4.028004933839115,functional_class_holdout,,
k562,lpm_selftrained,LUC7L3,Transcription,0.3314937383246314,6.7327975577218195,functional_class_holdout,,
k562,lpm_selftrained,MAGOH,Transcription,0.6055199748532767,4.427544189918382,functional_class_holdout,,
k562,lpm_selftrained,MAK16,Transcription,0.9133554363258634,2.441597333993222,functional_class_holdout,,
k562,lpm_selftrained,MARS2,Transcription,0.324031137868212,3.1620138594556124,functional_class_holdout,,
k562,lpm_selftrained,MAX,Transcription,0.755289069811104,5.672291900362859,functional_class_holdout,,
k562,lpm_selftrained,MCM3AP,Transcription,0.5823337453683466,3.8888272319966535,functional_class_holdout,,
k562,lpm_selftrained,MED10,Transcription,0.9091951584421124,2.8383963162761483,functional_class_holdout,,
k562,lpm_selftrained,MED11,Transcription,0.8891029001122343,3.223995460827229,functional_class_holdout,,
k562,lpm_selftrained,MED14,Transcription,0.8447990722525436,3.740030023643607,functional_class_holdout,,
k562,lpm_selftrained,MED17,Transcription,0.9123406604959888,4.193714630955814,functional_class_holdout,,
k562,lpm_selftrained,MED19,Transcription,0.91155399771825,3.401495074341859,functional_class_holdout,,
k562,lpm_selftrained,MED20,Transcription,0.8209361632478269,4.326810087658855,functional_class_holdout,,
k562,lpm_selftrained,MED21,Transcription,0.8636676245939181,5.444034456455179,functional_class_holdout,,
k562,lpm_selftrained,MED22,Transcription,0.8984106637298984,3.9562009938215463,functional_class_holdout,,
k562,lpm_selftrained,MED26,Transcription,0.4155381085171797,3.1304551395317177,functional_class_holdout,,
k562,lpm_selftrained,MED28,Transcription,0.8187574730602027,4.997621891862655,functional_class_holdout,,
k562,lpm_selftrained,MED29,Transcription,0.7866822277680088,4.494933774822193,functional_class_holdout,,
k562,lpm_selftrained,MED30,Transcription,0.930187989342458,4.323312269175387,functional_class_holdout,,
k562,lpm_selftrained,MED31,Transcription,0.4475735027934751,5.13731772922784,functional_class_holdout,,
k562,lpm_selftrained,MED4,Transcription,0.8685795078133818,5.666055224930857,functional_class_holdout,,
k562,lpm_selftrained,MED6,Transcription,0.9125768566354224,3.336271471745446,functional_class_holdout,,
k562,lpm_selftrained,MED7,Transcription,0.9226002360691165,3.9872430253803417,functional_class_holdout,,
k562,lpm_selftrained,MED8,Transcription,0.8000136794760744,3.971720998676199,functional_class_holdout,,
k562,lpm_selftrained,MED9,Transcription,0.9088916156820246,5.018828789594188,functional_class_holdout,,
k562,lpm_selftrained,METTL14,Transcription,0.3635180567872414,3.5738342655881516,functional_class_holdout,,
k562,lpm_selftrained,METTL16,Transcription,0.4109407462225022,4.845932721788379,functional_class_holdout,,
k562,lpm_selftrained,METTL3,Transcription,0.2454979535003742,3.5209054304609846,functional_class_holdout,,
k562,lpm_selftrained,MFAP1,Transcription,0.8121010704132674,4.7093232957289235,functional_class_holdout,,
k562,lpm_selftrained,MNAT1,Transcription,0.6419398994938748,4.082151423550205,functional_class_holdout,,
